0,1
Datasets/LJSpeech-1.1/wavs/myvoice2.wav,"computer search doctor who,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0129.wav,"the lateral compression of his letters renders necessary.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0002.wav,"in being comparatively modern.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0106.wav,"oddity rather than rational beauty and meaning being apparently the thing sought for both in the letters and the illustrations.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0146.wav,"discussions with the dallas authorities and requests made of them were entirely informal.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0104.wav,"each of them was a failure in his work and in his relations with others, a victim of delusions and fancies which led to the conviction,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0148.wav,"here once more the almost invariable modern practice is in opposition to a natural sense of proportion.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0001.wav,"for more information, or to volunteer, please visit librivox dot org. report of the president's commission on the assassination of president kennedy.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0139.wav,"and the attorney general at any meetings which are concerned with presidential protection.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0001.wav,"printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice26.wav,"i have one brother and one sister,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0152.wav,"at some overpasses all persons were excluded,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0219.wav,"these considerations have induced the commission to believe,,,,,,,,,,,,,,,,,,,"
